text,label
"Nalito yung pari kung san pa pwede paitimin si Binay . Nagtagal tuloy misa . Cause of delay ka , VP ! Hala ! [LINK]",1
[MENTION] Duterte Roxas Poe Binay Santiago ang Rank,0
"Nung si Binay ginisa sa UPLB , tuwang tuwa kayo . Nung kandidato niyo na , bastos na estudyante ng UPLB .",1
[MENTION] salamat sa UNA camp . we fought a good fight guys VP Binay pa rin tlga,0
[HASHTAG] kung lumaki man taung mahirap c VP Binay din ay lumaki ng mahirap,0
RT [MENTION] : my goodness Jejomar Binay super annoying mo na can you pls stop like really . Oo na laki ka sa hirap punyeta ka,1
Re : [HASHTAG] A ' blogger ' seems to have the yellow Koolaid through an IV line . Kanina baka si Binay . Now si Pamatong . Basis ? Nada ? K .,0
Bets should be ready but wrong to bash Alma Moreno for interview ・・VP Binay [HASHTAG] [LINK],0
I WAS REALLY IRRITATED OF BINAY'S ANSWER . IT DIDN'T MAKE SENSE TO ME .,1
Say goodbye to your presidential ambitions Mar . Your Mar Roxas Trains can't even support your contrived image . [LINK],1
"BETA | #NEWSROOM5 : EPAL MOVES ? BINAY , ROXAS , ROBREDO , BINISITA ANG MGA BINAGYO For more videos , visit us . [LINK]",0
NALSS AKO SA CAMPAIGN SONG NI BINAY WTH ANONG MALI SAKIN :(((,1
"Tapos nagtataka tayo kung bakit andaming naloloko ng mga tulad ni Marcos at Binay . Eh ganun din naman tayo , Iba lang ang pinapansin . ? ?",1
Pacquiao and Moreno for Binay's senatorial line up *face palm*,1
Bakit dahil kay Binay . hindi masyadong kita ang kilay sa sobrang itim ang kulay ?,1
"WATCH | Daniel Padilla interviews Mar Roxas , gets mixed reviews [LINK]",0
"FUCK YOU NOYNOY , FUCK YOU MAR ROXAS WALA MOY PULOS YAWA MO .",1
6 . Ateneo 7 . Mac Belo 8 . Sarah Geronimo - MINAMAHAL 9 . Gimme5 Rocks SMManila 10 . Only Binay 2015/11/22 05:18 PHT [LINK],0
Not sure why Binay isn't giving up . He's 10M behind Duterte and there's just less than 10M votes that's yet to be counted . [HASHTAG],0
Tangina naman yung ad ni Binay nakabwisit !,1
Binay・・s big promise : No income tax for workers earning P30K monthly and below : Vice President Jejomar Binay vo . [LINK],0
[MENTION] [MENTION] ganyan tlga basta puro at walang bahid . ehh ? *grace poe tone* hahaha,1
6 . OTWOL Disappointment 7 . [HASHTAG] 8 . POWER VOTE FOR MENG 9 . MarNella ROROmance 10 . YLONAs BirthMonthDayNine 2016/2/9 08:32 PHT,0
""" Ano masasabi mo sa performance ni Binay sa recent presidential debate? "" Me : [LINK]",0
Tangina ka Enrile . Di naman masyadong halatang solid binay supporter ka . [HASHTAG],1
[MENTION] Errata : Binay pa rin ang may pinakamataas na distrust at disapproval ratings .,1
Introduction mo Mar Roxas panay paninira lang sa kapwa mo kandidato . ? ? [HASHTAG] [HASHTAG],1
I VOTE ROXAS [HASHTAG] Mar Daang Matuwid RORO RISING All things are possible if you believe .,0
Nakakairita commercial ni Binay!! !,1
Plastic na mapapel pa . [HASHTAG] mo Mar Roxas ! [LINK],1
""" [MENTION] : Sen . Binay : UNA had nothing to do with Poe residency issue "" Wag mo kami gawing tanga at wag kang magmalinis . Ano kami , bobo ?",1
Si Binay yung kaklase mong nag top 1 nung Kinder pero hanggang college niyayabang niya . Lels .,1
"SO IT'S DUTERTE TILL THE END . JUST DONT CHEAT , YELLOWS ! ????? ? [HASHTAG] [HASHTAG] [HASHTAG] [HASHTAG] [LINK]",1
"RT [MENTION] : Feel ko glutha na kailangan ni Binay hindi na pagiging Presidente . Putek paulit ulit ! Puro "" nog nog "" naririnig ko sa mg・ｦ",1
VP Binay tikom ang bibig sa pahayag ni Sen . JV Ejercito na si Sen . Grace Poe ang susuportahan ng kanyang ama na si Erap |via Allan Francisco,0
RT TVPatrol : KILALANIN : Vice President Jejomar Binay [LINK] [HASHTAG] [LINK],0
"Ito si Binay Hindi sya nagchachat sa kung sino sino at sinasabing "" Kuya/Ate palike naman po nito "" . ' Di kupal si Binay Tularan si Binay",0
Nognog Pandak Laki sa hirap Pero di tulad ng iba Maraming nagawa Yan si Binay ! TAE TAE TAE TALAGA ! Nice Ad . Haha,1
[MENTION] Yun nga eh . Pero may sakit si Miriam . Ang hirap nito hati na mga boto sa kanila baka manalo pa tuloy si Binay .,0
This is what I fear . A population of the Philippines is stupid enough to vote for Binay . PLEASE don't let that happen .,1
Only binay only binay sino pa ba ? Only binay,0
I'll not lead an uprising if Binay wins ・・ Trillanes [LINK],0
PAGHILOM MAR ROXAS BI . PAKYU,1
""" Tignan mo to si Binay kung ano akong kwento nanaman iniimbento "" -Mudang ? ?",0
How did Binay manage to afford all this even after his accounts were frozen ? Who does he owe ? [LINK],0
"If the 2016 elections was a race between Mayor Rodrigo Duterte and former DILG Secretary Mar Roxas , who would . [LINK]",0
Bagay na bagay kayo promise para kayong anak ni Binay? ?,0
"Ilang kilometro na nalakad ni Binay ? Other than that , this debate won't be as good as TV5's . Karen is a disappointment [HASHTAG]",1
Take a shot when : Binay mentions Makati Duterte mentions Davao Poe mentions FPJ Roxas mentions Daang Matuwid,0
[MENTION] kayo nalang ni binay . forever kayo eh . XD azar,0
Mabuhay binay aba . Hahahahaha Hayop,1
"[MENTION] The reason Mar Roxas can't increase his numbers is that he is dumb and stupid and lacks sincerity , factors that can't be hid",1
"Binay & Roxas kung hindi kayo mananalo , SHUT UP nalang kayo .",1
"Binay to PH Business Expo : I hope should you invite me again next year , I'd be the President of the Philippines . [HASHTAG]",0
"Not Binay , Poe , Roxas , but Santiago . [HASHTAG]",0
""" Ang boboto kay Binay , tanga. "" -taxi driver , ang hard . Haha ! :)))",1
The propaganda act didn't define Mayor Duterte . It defined how politicians in our country do dirty acts to gain power . DUTERTE TILL THE END,0
RT [MENTION] : Nakaka Gago tong ads ni Binay . Buseeetttt . [HASHTAG],1
[MENTION] kung walang cortuption walang poverty . isis isip ka naman binay [MENTION],1
"Oh ayan mga bobo . Gagawin bayan ni binay , mar , poe , ? SALITA ! ./ . [LINK]",1
ang layo ng mga sagot ni binay pota,1
Say NO to plunderers ! A BIG NO to Binay!! ! [LINK],1
""" POE , Putangina mo umuwe kana "" - Duterte",1
"I think we all KNOW who Noy's "" secret candidate "" is . *cough*BINAY*cough* [LINK] [HASHTAG] [HASHTAG]",0
"[MENTION] Ang medjo nakakatakot manalo si Robredo baka ipa-impeach nya si Duterte. . eh galamay yan ni Roxas ,isama na si Trillanes .",0
Pol Ad : Nakakaiyak naman si Binay . Awang-awa ako sa kanya . Joke . Big joke . [HASHTAG] [HASHTAG] [LINK],1
Nakita ngaun ng kalaban ni VP Binay kung gaano kadami ang sumusuporta sknya iyak nalang kau Only B1NAY [HASHTAG],0
edi si Binay na pandak . nyeta parang ako hindi ah ? nanyo ! HAHAHAHAHAHAHAHAHAHA bwiset !,1
"Pabebe ka ng taon DUTERTE sige tumakbo ka ng maghati boto niyo nila POE , MIRIAM at IKAW , at nang manalo pa si BINAY -_- dahil sa gagawin mo",1
[MENTION] Kaano-ano ni Binay si Villar ?,0
OMG ! Mar Roxas for President !! ! DJ sana di ka nalang nagendorse ? ? [LINK],1
Chiz slams VP Binay and LP・・s offer for Gordon to file DQ cases against Poe [LINK],0
Burn binay ! Hahahahahaha KATHNIEL in Aklan [HASHTAG] [HASHTAG],1
"Lahat nalang sa AlDub fans sinisisi . Nognog si Binay , kami may kasalanan . Binoboycott ABS , kami . Bagyo at baha kami parin . [HASHTAG]",1
"If Duterte won't run for President , I'll go for Santiago and Bongbong tandem as long as they will appoint Duterte as DILG secretary .",0
[MENTION] yung last link na sinend ko nandun si Binay :((,0
""" Mar Roxas is not the first choice , but he's the best choice. "" ??? ?",0
"NAKAKATAINGA TLAGA SI MAR ROXAS . Di pwede to . Ganun nalang ba yun pag nakadayaan sa Election at nanalo sya , . [LINK]",1
"I'm not into VP Binay or what , but really people ? Just because the media and other politicians has something to . [LINK]",0
Sen . Trillanes accuses VP Binay of lying and trying to deceive public in his TV ad showing・ｦ [LINK] [LINK],0
Quicho : Dito magsisimula ang kampanya ni VP Binay laban sa kahirapan . [MENTION] [HASHTAG],0
"Basta pag si Poe o si Binay ang nag-anoint ng successor sa 2022 at lahat ng ginagawa nina Mar/Leni now e gawin din nila , OK din sa inyo , ha ?",0
"Sana yung binoto nyo kay Poe-Roxas-Binay , binoto nyo nalang kay Miriam eh",0
""" At hindi ko kayo nanakawan. "" -- [HASHTAG] HAHA BOGUS AD ! Can you say desparate??!! ? [HASHTAG]",1
Nako Mar Roxas!Bakit naging pangalawa ka ??!tsk.tsk . alam na,1
Oa lang naman yung mga die hard fans ni dut//erte . Pero kung kay Binay or Mar Roxas ginawa yun matutuwa sila pa sila . :-),0
Tatakbo na si Duterte ! So mahahati ang boto sa knila ni Miriam . At the end si Mar Roxas pa mananalo . Haynako ! ? ?,1
"Sen . Bongbong Marcos gamely says he can get along with all presidentiables , Binay is also from・ｦ [LINK]",0
Retweet if you still support Mayor Duterte ! Wag magpapaloko sa black propaganda ! DUTERTE TILL THE END [LINK],1
"[MENTION] this Allan Cayetano is a disgrace , babbling his mouth since gloria adm regarding Mike Arroyo and proven NOTHING . ? ? Zero vote",1
"1 sinungaling , 1 bagito 2 masakitin na matanda , saan ako lalagay ? Doon na sa sigurado [HASHTAG] [HASHTAG] [LINK]",1
"In this election period , real image of people were revealed . Very much dismayed to Abscbn , Trillanes & Roxas . Is there in conspiracy behind ?",0
BINAY ON ASH WEDNESDAY . GRABE TO [HASHTAG] ????? ? [LINK],1
"RT [MENTION] : "" Imagine what havoc a [HASHTAG] - [HASHTAG] administration can wreak "" Who・・s afraid of [HASHTAG] ? [LINK] [HASHTAG] [HASHTAG]",0
Desperate move Mar Roxas ! Jusko . Lumaban ka ng patas ! [HASHTAG],1
buti pa si binay hahahaha,0
Walang pinagkaiba si Binay sa isang 10 year old na tampururot . Masyadong paawa sa TV ads amp .,1
"Mar , Binay , Poe tigilan niyo na ang paggamit sa taong gutom . Hindi porket mahirap pwede niyo n paglaruan ang buhay . [LINK]",1
RT kung traffic sa EDSA LIKE kung hindi mo iboboto si Binay QT kung ano sa tingin nyo ang laman ng biceps ni Alden [HASHTAG] [HASHTAG],0
Medyo pasikat si binay ??? ?,1
"[HASHTAG] why did you not report on Grace Poe's about the "" hakot buses "" in which passengers are stranded ? [MENTION]",1
bakit mas mukhang may sakit si grace poe kesa kay miriam ? sns,0
"Poe , Binay , Duterte ・・all good・・ for Migz [LINK]",0
"VP Binay , UNA condemn killing of former councilor of Sto . Tomas [LINK] | via GMA News",0
[HASHTAG] [HASHTAG] [HASHTAG] [HASHTAG] [LINK],0
"Maski mag as one pamo Poe and Roxas , you can't still defeat Duterte .",0
[MENTION] wla nmn kaung mgndang ibinabalita kay Binay . Di nyo kami mlloko dito [HASHTAG] Ang Pagbabalik Binay In Makati,1
alam mo binay alam na naming pandak at nognog ka wag mo na ibroadcast . ? ?,1
"Mga kandidatong pasok sa opisyal na balota : For president : 1 . BINAY , Jejomar C (UNA) 2 . DEFENSOR-SANTIAGO , Miriam . [LINK]",0
Binay gave us again one reason to not vote for him . [HASHTAG],1
[MENTION] 0o nga . Pero sery0so c binay eend0rse ni alden ?,0
"Visitation of VP Jejomar Binay , Sen . Gringo Honasan & Gov . David Jayjay Suarez , Quezon 1000 Days of Life and . [LINK]",0
Takot na si Trillanes & Roxas . Kaya grabe nalang nila siraan si Duterte ? ? Sila kasi unang titirahin ni Duterte if ever na manalo siya eh ? ?,1
bakit si roxas ayaw pumunta ? di lang kasi boo abutin niya ! GO VP BINAY ! [HASHTAG] [HASHTAG] [HASHTAG] [LINK],1
RT [MENTION] : Daming commercial ni Binay ! May bago na naman . Yaman . Hahahahahaha AlwaysBeThereFor KamZo,0
"Mar Roxas srsly needs a PR specialist or something . Although , it's rather enlightening , the absurd things coming out of his mouth .",1
ETONG AD NI BINAY NAKAKAINIS . NOGNOG ? ALAM NAMIN OY !,1
Binay tops pre-election survey [LINK] | via Eagle News,0
Sa tuwing napapanood ko yung ad ni Roxas at Binay nababadtrip ako taena !,1
REtweet mo kung pabebe si Mar Roxas,1
Traffic na naman dito makati haaay binay,1
SI VP Binay alam kung paano paunladin ang bansa . [HASHTAG],0
[MENTION] because people loves to complain . I VOTE ROXAS [HASHTAG] Mar Daang Matuwid RORO RISING,0
"Roxas & Binay reaching out to the poor , Miriam to the educated , and Poe to.uhm.Comelec daw muna . May kaso pa e . ? ?",0
Binay is out of his mind. . No VAT for 30k and below earner is such a ridiculous thing you could ever imagine .,1
RT [MENTION] : pati si binay ideal boy na ng mga babae hahahaha :D,0
Grace poe is down in the second rank in the survey [HASHTAG],0
Nakita nyo na ba yung Mar Roxas at Miriam Santiago ng San Marcelino ? HAHAHAHAHAHAHAHAHAAHAHHAHAHAHAHAHAHAHAHAHAHA,0
Bunga ng hilaw na pamamalakad . Kaya hinding hindi talaga ako boboto sayo Mar Roxas . [LINK],1
"GUYS HELP ME SPREAD THIS . Dito po sa amin sa Lanao Del Norte , kahit si Duterte ang nilagay , si Roxas ang lalabas . ? ? [LINK]",0
"Uh-oh , Poe's lead to Roxas is down to 20,377!! ! [HASHTAG] [HASHTAG]",0
Duterte is running for president . Now this is a sure win for Binay . ? ?,0
"Sus Binay at Roxas , kahit walang joke na sinabi si Duterte , alam kong ibabash nyo parin sya . Don't me .",1
"VP Binay , Ikaw na ang sagot sa kahirapan sa bansa [HASHTAG]",0
Mga pa-echos mo Binay ! Ika'y tumigil !,0
Ewan ko sayo Binay . Hindi yon dahil sayo na mayaman ang Makati . Dahil yon sa tax ng mga Ayala . ??? ?,1
"RT [MENTION] : Luko-luko ka talaga Abaya ! Anong "" sabotage "" ? - Ikaw at si Mar Roxas at Noy Aquino ang mga nag sabotage sa MRT ! [LINK]",1
Ako lang ba ang may tingin na walang kwenta si binay . Hhaaha,1
[HASHTAG] Sorry Bongbong Marcos =( I will NOT vote for you but I will vote for your running mate Miriam Defensor Santiago =) [HASHTAG],0
Ma si poe nalang kung ayaw mo si duterte ! Wala ka ding ambag eh !,0
""" [MENTION] : [VIDEO] Why Rep . Binay can never forgive Sen . Trillanes [LINK] "" didn't even bother to read why . [HASHTAG]",1
"[HASHTAG] | VP Binay , nanligaw ng mga botante sa cavite . Umaaksyon si [MENTION] [HASHTAG] [HASHTAG]",0
"Mar Roxas ' new commercial is such a big "" Ano ka ngayon Binay "" Nognog pa more . Trapo .",1
"[MENTION] hahahah mas sayang boto kapag kay binay , mar napunta hahaha (wag ka magalit kai) hahaha para sakin lang yan",0
RT [MENTION] : KathNiel leads celebrity gathering for presidential candidate Mar Roxas . [LINK] via [MENTION],0
"Diktador ang dating ni [MENTION] , she who can't be questioned . NO to #Miriam2016 . [LINK] [LINK]",0
"VP Binay disagrees with Duterte , says death penalty not the solution against criminality | via [MENTION]",0
Transcript of Mar Roxas ' Interview On NAIA Tanim Bala : [LINK],0
Mar Roxas criticised for showing his receipt to the Media [LINK],0
"duterte & miriam talaga ako . kung hindi sila , binay or poe . mar ? wag na . ? ? [HASHTAG]",0
Jejomar Binay : Narinig niyo na naman ang mga bintang na walang kinahinatnan na ako ay nahatulan . [HASHTAG],0
si VP Binay ang kailangan para matapos ang kahirapan [HASHTAG],1
""" Kahit ano pa ang sabihin nila , ang Makati at Binay ay iisa. "" - Abby Binay Entitled bitches .",1
ibinoto nyo dapat kasi si . WISELY ! xD kadeee. . kahit sino na for President. . WAG lang si MAR ROXAS ! :-P,1
""" Bakit dahil kay Binay..Bakit dahil kay Binay.. "" Nognog . Pandak . Magnanakaw ! Gago . Wala kang naloloko dito .",1
[MENTION] lets just be honest..we both know leni is the only one that can pull an upset.but for the pres . Its duterte/poe/binay not mar,0
RT [MENTION] : From Santiago to Duterte . Damn it . Bakit hindi na lang kasi silang dalwa yung tandem . Pinapahirapan pa ' ko jusko . [HASHTAG],1
What a drama queen . Para kang si Binay . [HASHTAG] [LINK],1
Di ako [HASHTAG] pero grabe PNoy . HAHAHAHAH ganyan ka pala kababa . [HASHTAG] [HASHTAG] [LINK],1
"If you hate Binay or if you hate Duterte , then hindi niyo talaga na gets yung Debate .",0
Wag kang mag alala roxas ? ? pagnanalo si du30 popondohan nya yung business nyong tsinelas ni korina ? ? chill kalang,0
"Only Binay ? Karen Davila be like , ' Expound ' . [HASHTAG]",0
Ginagaya ni Paris yung batang naiyak sa commercial ni Binay ! Hahahaha,0
[MENTION] Puro ka kalokohan MarRoxas wala kang alam sabhn kundi puro pani2ra sa kapwa mo papogi ka [HASHTAG],1
"36 . Kapag si Binay ay nagronda sa gabi , makikita mo ba siya ?",1
"3 days straight na exposed sa init , ano napala ? Edi eto nognog na kagaya ni binay . Dafuck ? ?",1
"Si Binay : nognog , pandak , laki sa hirap . Si [MENTION] : pango , pandak , rak na rak .",1
Maka-RoRo sa taas Maka-RoRo din sa baba [HASHTAG] [HASHTAG] [HASHTAG] [HASHTAG] [HASHTAG] [HASHTAG] [HASHTAG],0
"[MENTION] magpakatotoo tayo beh . Kahit corrupt si tatay , Binay pa rin . ? ?",1
binay pakibigyan nalang sila ng cake,0
"Front page : Binay's lead narrows , Duterte up in latest BW-SWS survey | Full story at [LINK] [LINK]",0
[MENTION] lahat kaya ni VP Binay nalagpasan nya nga yung pangungulila yan pa ba mga binabato nyo sakanya [HASHTAG],0
Humabol si Mar Roxas ;-- ;,1
"Binay : We need to increase IRA for 4th , 5th class municipalities . We must empower local government units , make them accountable . [HASHTAG]",0
"Mar Roxas knows Grace Poe's number . Nagpapresscon pa talaga , sana tinawagan niya . Papansin masyado . Drama queen . [HASHTAG]",1
"My turn . Can you verify this , [MENTION] ? Never mind the other 2 baka takot k Poe.#PhVote [HASHTAG] [HASHTAG] [LINK]",0
"Meanwhile , Binay and Grace , di pa namin nakakalimutan ang issues against you despite saying #NoToDuterte . [HASHTAG] [HASHTAG]",1
"Sorry na talaga , pero kapag si Binay na hindi ko maiwasan matawa . [HASHTAG]",0
"back to politics , mas may pagasa pang manalo si binay kaysa kay roxas",0
.parang gustong palabasin ni Mar Roxas na lahat ng pulitiko ay magnanakaw ! [HASHTAG],0
Mar Roxas giniit na hindi dapat magpadalus-dalos sa pagtugon sa isyu ng tanim-bala sa NAIA . [HASHTAG] [LINK],0
"Binay gives out candies with his name at Bgy Nine , Balayan , Batangas [HASHTAG] [LINK]",0
"RT [MENTION] : "" sus bakit si mar roxas pa "" - mameh hahahahahahahahaha",1
"[MENTION] Trust ratings of Mar Roxas have gone down , despite all the spin . He ranks a far-away third nationally , trust-ratings wise",0
"Yellowtards out there ! Is Mar Roxas ' action is what you call "" Decent "" ? [HASHTAG]",1
[MENTION] Paki baril si mar roxas ??????????? ? choss ./ .,1
"OMG , Mar Roxas already on top [HASHTAG] [HASHTAG] [HASHTAG] [HASHTAG] [HASHTAG] [LINK]",0
Diba Binay vice ka ni PNOY ? Edi wala ka din kwenta sa 6 na taon na walang nangyare sa bansa . Kupal ka forevs .,1
"Ayaw daw kay Duterte kasi baka magka Martial Law at magkagulo lang , so kay Roxas kayo ? Di pa nga nananalo . [LINK]",0
FUCK YOU MAR ROXAS . fr my [HASHTAG] PH VOTE DUTERTE [HASHTAG] [LINK],1
[MENTION] Gaga :)) he conceded yesterday . I think si Binay nalang wala,1
[MENTION] Tanong ko po kay Binay : Kung siya ang mahalal na Pangulo ano ang kanyang mandatory para patigilin ang korapsiyon ?,0
"Pero nalupet pa rin si binay , hanggang sa dulo lumalaban . Kahit alam niyang talo na siya .",0
"RT [MENTION] : TANGA LANG ANG BOBOTO KAY MAR ROXAS , UULITIN KO , TANGA LANG .",1
"Sa President naman walang bumoto kay Duterte , Roxas at Binay sa family ko .",0
Pikon talo . Labanan ni Roxas at Duterte . Hahaha !,1
Putangina Duterte for president!!! ! Sumpain ka MAR ROXAS HAHAHAHAHAHA !,1
"Mga nagtatanim ng bala , Binay , Napoles , Kayo na pong bahala",0
I dont know what dots is but i laaaffhhdhfhdhdj so hard at Binay as Blackie ??? ? whyyy ??????????????????? ? [LINK],1
Binay will not abolish a good pro poor program [HASHTAG],0
Binay : Sama-sama tayong isulong ang ginhawa sa bawat pamilyang Pillipino [HASHTAG],0
""" [MENTION] : Grace Poe , Miriam Defensor Santiago top vice president choices for Mar Roxas ・・ survey [LINK] [HASHTAG] PRES . MIRIAM",0
Magkano naman ibinayad ni Mar Roxas kay Daniel Padilla para ienderso s'ya ? More reasons not to vote for Mar,0
Binay : Isang taon na nila akong pinagtutulungan . [HASHTAG] [HASHTAG],1
"Ako lang ba naiinis sa advertisement ni Binay ? Nognog daw tayong lahat ? *lol , ikaw lang.????? ?",1
"Sige , buhat pa ng bangko , Binay . Isa ka pa . Hidhid ka rin . [LINK]",1
[MENTION] i'm having an argument with my mother about mar roxas rn. . ? ?,0
Bsta ah we are not voting for Binay ??? ?,0
"Ayan nanaman tayo sa linya ni Binay na "" katulad sa Makati "" PWE",1
"Before matulog number 1 si duterte , Pag katapos matulog number 1 na si roxas . [HASHTAG]",1
"Appearance of VP Jejomar Binay , Sen . Gringo Honasan and Gov . David Jayjay Suarez during the Distribution of . [LINK]",0
